Date,Close,High,Low,Open,Volume,Ticker,Industry
2024-09-20,113.83564758300781,114.2651786780747,111.07865712115822,111.75791541984378,5777300,JBL,Information Technology
2024-09-23,112.91665649414062,114.4949342946746,112.50710021051727,113.8756080686111,1565500,JBL,Information Technology
2024-09-24,112.73684692382812,114.87451112995213,112.55704303634717,114.84454508555018,1322100,JBL,Information Technology
2024-09-25,113.30622863769531,116.0232618685745,113.15639078931736,113.2862538144107,1972800,JBL,Information Technology
2024-09-26,126.51180267333984,129.82817962720293,123.4251704786364,123.86469279503844,3817500,JBL,Information Technology
2024-09-27,122.20650482177734,127.86033256029118,122.08664063748668,127.68052866278549,2053600,JBL,Information Technology
2024-09-30,119.69924926757812,122.3163855758477,118.08101418776333,121.3174767263232,1969700,JBL,Information Technology
2024-10-01,119.02997589111328,119.53941389033838,117.56157874036832,119.49945662393596,1618000,JBL,Information Technology
2024-10-02,118.8401870727539,120.55831151367519,118.40066474012669,118.48057927716249,1376700,JBL,Information Technology
2024-10-03,119.7691650390625,120.2686194323688,118.01108344072497,118.04104948495228,1233800,JBL,Information Technology
2024-10-04,121.52725219726562,122.90574364227197,120.36851429366959,122.53614463073126,1043300,JBL,Information Technology
2024-10-07,122.16654968261719,122.51616623953142,120.49836618922184,120.49836618922184,1407200,JBL,Information Technology
2024-10-08,123.20541381835938,123.50508952158653,121.0178086206521,122.15656409920375,1360600,JBL,Information Technology
2024-10-09,123.8846664428711,125.05339553484741,122.52615748164764,123.31528872978288,1247400,JBL,Information Technology
2024-10-10,122.77588653564453,123.4451536149594,121.64711469329464,122.79586135874327,945000,JBL,Information Technology
2024-10-11,124.09444427490234,124.9135491906644,121.94678881861482,121.94678881861482,891500,JBL,Information Technology
2024-10-14,125.63275909423828,126.83145425236945,124.3641482445325,125.20322799626177,1390200,JBL,Information Technology
2024-10-15,124.1244125366211,126.27206803126677,123.42517178755975,125.46294670193961,1268200,JBL,Information Technology
2024-10-16,123.7348403930664,125.28314451790341,123.46513073925499,124.67380951759715,781900,JBL,Information Technology
2024-10-17,125.7825927734375,125.82255003949138,124.19433145840934,124.46403347793647,1056600,JBL,Information Technology
2024-10-18,126.16218566894531,127.55066830425199,125.22320894941699,125.69269730918114,1108700,JBL,Information Technology
2024-10-21,124.23429107666016,125.97239026703146,123.97457265292718,125.76262033207884,897000,JBL,Information Technology
2024-10-22,123.8846664428711,124.86360042346155,121.87686523523178,122.25644783693413,1547800,JBL,Information Technology
2024-10-23,122.80584716796875,124.51398025772691,120.98783350333703,123.84471320791103,1552900,JBL,Information Technology
2024-10-24,124.89356231689453,125.23319526171346,123.97456807738065,124.17434678299007,1044800,JBL,Information Technology
